GMAPM_ID,住所,緯度,経度
GMAPM_A50054,日本、〒601-8306 京都府京都市南区吉祥院宮ノ西町１１,,
GMAPM_D30024,日本、〒600-8882 京都府京都市下京区西七条比輪田町２８,,
GMAPM_G10028,日本、〒601-1112 京都府京都市左京区鞍馬貴船町５０,,
GMAPM_A10141,日本、〒601-1112 京都府京都市左京区鞍馬貴船町６９,,
GMAPM_A10142,日本、〒612-8052 京都府京都市伏見区瀬戸物町７３８,,
GMAPM_A10143,日本、〒612-8113 京都府京都市伏見区向島中島町８２−３,,
GMAPM_A10144,日本、〒612-8351 京都府京都市伏見区土橋町３３９−６,,
GMAPM_A10145,日本、〒612-8264 京都府京都市伏見区横大路松林３６−１５,,
GMAPM_A10146,日本、〒612-8295 京都府京都市伏見区横大路鍬ノ本１−８,,
GMAPM_A70122,日本、〒612-8207 京都府京都市伏見区横大路三栖山城屋敷町１０８,,
GMAPM_D70048,日本、〒612-8058 京都府京都市伏見区風呂屋町２３３,,
GMAPM_A70123,日本、〒612-8342 京都府京都市伏見区久米町６３５−２,,
GMAPM_A70124,日本、〒612-8495 京都府京都市伏見区久我森の宮町９−３７,,
GMAPM_A70125,日本、〒612-8141 京都府京都市伏見区向島二ノ丸町３８０−３,,
GMAPM_G70007,日本、〒612-0058 京都府京都市伏見区桃山長岡越中南町５７−１,,
GMAPM_A20186,日本、〒611-0041 京都府宇治市槇島町中川原94,,
GMAPM_D20015,日本、〒612-8484 京都府京都市伏見区羽束師鴨川町２１２−６,,
GMAPM_A20187,日本、〒611-0041 京都府宇治市槇島町南落合３４−１０,,
GMAPM_A20188,日本、〒612-8036 京都府京都市伏見区桃山町立売２１−７,,
GMAPM_A20189,日本、〒612-8264 京都府京都市伏見区横大路松林３６−１５,,
GMAPM_A60072,日本、〒612-8264 京都府京都市伏見区横大路松林３６−１５,,
GMAPM_B60005,日本、〒611-0041 京都府宇治市槇島町目川５６−２,,
GMAPM_A60073,日本、〒611-0041 京都府宇治市槇島町中川原94,,
GMAPM_A60074,日本、〒612-0074 京都府京都市伏見区桃山井伊掃部西町２３−５,,
GMAPM_A60075,日本、〒611-0041 京都府宇治市槇島町目川５６−２,,
GMAPM_A40119,日本、〒612-8351 京都府京都市伏見区土橋町３３９−６,,
GMAPM_D40018,日本、〒612-0836 京都府京都市伏見区深草大亀谷安信町４５,,
GMAPM_A30089,日本、〒612-8295 京都府京都市伏見区伏見区横大路鍬ノ本１−１１,,
GMAPM_A30090,日本、〒612-8295 京都府京都市伏見区横大路鍬ノ本１−８,,
GMAPM_A30091,日本、〒611-0042 京都府宇治市小倉町春日森５５−２５,,
GMAPM_A10147,日本、〒550-0003 大阪府大阪市西区京町堀１丁目１０−１９,,
GMAPM_A10148,日本、〒531-0075 大阪府大阪市北区大淀南２丁目９−１７ プラザハイツ 1階,,
GMAPM_D10019,日本、〒534-0023 大阪府大阪市都島区都島南通２丁目４−２０,,
GMAPM_A10149,日本、〒530-0041 大阪府大阪市北区天神橋３丁目９−１２,,
GMAPM_A70126,日本、〒537-0025 大阪府大阪市東成区中道３丁目８−１５,,
GMAPM_A70127,日本、〒534-0021 大阪府大阪市都島区都島本通１丁目１−１８,,
GMAPM_C70005,日本、〒531-0075 大阪府大阪市北区大淀南２丁目９−７,,
GMAPM_A70128,日本、〒540-0005 大阪府大阪市中央区上町Ｃ−１８,,
GMAPM_A70129,日本、〒531-0072 大阪府大阪市北区豊崎５丁目８−１０ Metro Porte中津 2階,,
GMAPM_A20190,日本、〒531-0072 大阪府大阪市北区豊崎５丁目８−１０ 3F,,
GMAPM_D20016,日本、〒550-0005 大阪府大阪市西区西本町１丁目１１−１,,
GMAPM_G20007,日本、〒550-0003 大阪府大阪市西区京町堀２丁目１０−５,,
GMAPM_A20191,日本、〒531-0076 大阪府大阪市北区大淀中４丁目１１−１６ 1F,,
GMAPM_A20192,日本、〒542-0067 大阪府大阪市中央区松屋町９−１,,
GMAPM_A20193,日本、〒550-0003 大阪府大阪市西区京町堀１丁目１７−１０ 川越ビル,,
GMAPM_G60010,日本、〒530-0023 大阪府大阪市北区黒崎町４−１１ 3階,,
GMAPM_G60011,日本、〒530-0042 大阪府大阪市北区天満橋３丁目４−２５,,
GMAPM_A60076,日本、〒530-0042 大阪府大阪市北区天満橋１丁目６−８ ヴィルブーケ天満橋 2階,,
GMAPM_A60077,日本、〒550-0003 大阪府大阪市西区京町堀２丁目１１−１５,,
GMAPM_D60009,日本、〒534-0023 大阪府大阪市都島区都島南通２丁目４−２０,,
GMAPM_E60010,日本、〒530-0047 大阪府大阪市北区西天満１丁目１−１０ 2F,,
GMAPM_A40120,日本、〒530-0041 大阪府大阪市北区天神橋３丁目９−１２,,
GMAPM_D40019,日本、〒550-0013 大阪府大阪市西区新町３丁目２−１８ TMビル,,
GMAPM_A40121,日本、〒542-0067 大阪府大阪市中央区松屋町９−１,,
GMAPM_A40122,日本、〒550-0005 大阪府大阪市西区西本町２丁目２−１１ コーナン 店内,,
GMAPM_B40004,日本、〒531-0074 大阪府大阪市北区本庄東２丁目５−２ Luxe天六 １階,,
GMAPM_A40123,日本、〒534-0021 大阪府大阪市都島区都島本通２丁目２−１０,,
GMAPM_A50055,日本、〒530-0043 大阪府大阪市北区天満２丁目１１−６ クイーンズコート天満 1F,,
GMAPM_A50056,日本、〒550-0003 大阪府大阪市西区京町堀１丁目８−２５ 2F FM Utsubo-Park,,
GMAPM_A50057,日本、〒530-0035 大阪府大阪市北区同心１丁目７−２７ ３F,,
GMAPM_D50005,日本、〒542-0081 大阪府大阪市中央区南船場４丁目１１−２２ YOCビル 2階,,
GMAPM_A50058,日本、〒531-0072 大阪府大阪市北区豊崎５丁目８−１０ 3F,,
GMAPM_F50002,日本、〒541-0048 大阪府大阪市中央区瓦町１丁目５−１１ 瓦町一丁目ビル 地下1階,,
GMAPM_A30092,日本、〒550-0005 大阪府大阪市西区西本町２丁目２−１１ コーナン 店内,,
GMAPM_A30093,日本、〒530-0012 大阪府大阪市北区芝田１丁目１−３ 阪急三番街 南館 Ｂ１Ｆ,,
GMAPM_B30003,日本、〒540-0004 大阪府大阪市中央区玉造１丁目１−３１ ロイヤルホームセンター森ノ宮店内,,
GMAPM_B10007,日本、〒542-0086 大阪府大阪市中央区西心斎橋１丁目８−１１ 4F,,
GMAPM_A10150,日本、〒542-0071 大阪府大阪市中央区道頓堀１丁目東２−東２−１０,,
GMAPM_A10151,日本、〒542-0086 大阪府大阪市中央区西心斎橋２丁目１０−３１ ASUKAアメリカ村ビル 1階,,
GMAPM_A10152,日本、〒550-0003 大阪府大阪市西区京町堀１丁目１０−１９,,
GMAPM_A10153,日本、〒537-0025 大阪府大阪市東成区中道３丁目８−２１ ペピイ・ハッピープレイスTAMATSUKURI 1F,,
GMAPM_E10020,日本、〒556-0021 大阪府大阪市浪速区幸町２丁目２−１ ドエル堀江南 1F,,
GMAPM_A70130,日本、〒537-0025 大阪府大阪市東成区中道３丁目８−１５,,
GMAPM_A70131,日本、〒542-0082 大阪府大阪市中央区島之内１丁目１７−１１ アーバン長堀ビル 1F,,
GMAPM_A70132,日本、〒537-0025 大阪府大阪市東成区中道４丁目１６−２３,,
GMAPM_D70049,日本、〒556-0001 大阪府大阪市浪速区下寺３丁目１−１４ エクレール夕陽ヶ丘 1F,,
GMAPM_A20194,日本、〒550-0014 大阪府大阪市西区北堀江１丁目１６−２６ サニーコーポ山中 1Ｆ,,
GMAPM_A20195,日本、〒542-0067 大阪府大阪市中央区松屋町９−１,,
GMAPM_A20196,日本、〒556-0012 大阪府大阪市浪速区敷津東３丁目７−２,,
GMAPM_A20197,日本、〒544-0011 大阪府大阪市生野区田島２丁目１０−１８,,
GMAPM_A20198,日本、〒550-0014 大阪府大阪市西区北堀江１丁目１４−１５,,
GMAPM_A20199,日本、〒540-0013 大阪府大阪市中央区内久宝寺町４丁目４−３,,
GMAPM_A60078,日本、〒543-0033 大阪府大阪市天王寺区堂ケ芝１丁目１１−３ DSt桃谷ビルディング B1F,,
GMAPM_A60079,日本、〒540-0037 大阪府大阪市中央区内平野町２丁目３−７,,
GMAPM_A60080,日本、〒543-0063 大阪府大阪市天王寺区茶臼山町５−５５,,
GMAPM_D60010,日本、〒530-0005 大阪府大阪市北区中之島１丁目１,,
GMAPM_E60011,日本、〒556-0021 大阪府大阪市浪速区幸町２丁目２−１ ドエル堀江南 1F,,
GMAPM_A40124,日本、〒542-0066 大阪府大阪市中央区瓦屋町２丁目１４−１２,,
GMAPM_E40008,日本、〒537-0022 大阪府大阪市東成区中本１丁目５−３０,,
GMAPM_A40125,日本、〒542-0067 大阪府大阪市中央区松屋町９−１,,
GMAPM_D40020,日本、〒550-0013 大阪府大阪市西区新町３丁目２−１８ TMビル,,
GMAPM_A40126,日本、〒550-0005 大阪府大阪市西区西本町２丁目２−１１ コーナン 店内,,
GMAPM_D40021,日本、〒542-0081 大阪府大阪市中央区南船場４丁目１１−２２ YOCビル 2階,,
GMAPM_F50003,日本、〒543-0002 大阪府大阪市天王寺区上汐４丁目５−３,,
GMAPM_A50059,日本、〒543-0028 大阪府大阪市天王寺区小橋町２−１３ ＩＤＭビル 6階,,
GMAPM_A50060,日本、〒550-0003 大阪府大阪市西区京町堀１丁目８−２５ 2F FM Utsubo-Park,,
GMAPM_A50061,日本、〒550-0014 大阪府大阪市西区北堀江１丁目１７−２１ 清和ビル 1階,,
GMAPM_D50006,日本、〒542-0081 大阪府大阪市中央区南船場４丁目１１−２２ YOCビル 2階,,
GMAPM_A50062,日本、〒537-0025 大阪府大阪市東成区中道３丁目８−２１ 1F ぺピイ・ハッピープレイス 玉造,,
GMAPM_A30094,日本、〒550-0005 大阪府大阪市西区西本町２丁目２−１１ コーナン 店内,,
GMAPM_A30095,日本、〒543-0071 大阪府大阪市天王寺区生玉町１０−２３ ニューシティーアパートメント上町台 1F,,
GMAPM_A30096,日本、〒543-0001 大阪府大阪市天王寺区上本町５丁目７−２５,,
GMAPM_B30004,日本、〒540-0004 大阪府大阪市中央区玉造１丁目１−３１ ロイヤルホームセンター森ノ宮店内,,
GMAPM_A10154,日本、〒542-0071 大阪府大阪市中央区道頓堀１丁目東２−東２−１０,,
GMAPM_B10008,日本、〒544-0013 大阪府大阪市生野区巽中３丁目１４−７,,
GMAPM_A10155,日本、〒537-0024 大阪府大阪市東成区東小橋３丁目１４−２９,,
GMAPM_A10156,日本、〒544-0024 大阪府大阪市生野区生野西２丁目１−３０,,
GMAPM_A10157,日本、〒556-0002 大阪府大阪市浪速区恵美須東１丁目１３−１２ 通天閣ビル 2.3階,,
GMAPM_D70050,日本、〒537-0013 大阪府大阪市東成区大今里南６丁目２−６ 1F,,
GMAPM_A70133,日本、〒543-0052 大阪府大阪市天王寺区大道２丁目６−７ グランデ,,
GMAPM_A70134,日本、〒543-0052 大阪府大阪市天王寺区大道２丁目１１−１２,,
GMAPM_H70005,日本、〒544-0023 大阪府大阪市生野区林寺２丁目１７−１５,,
GMAPM_D70051,日本、〒556-0001 大阪府大阪市浪速区下寺３丁目１−１４ エクレール夕陽ヶ丘 1F,,
GMAPM_A20200,日本、〒546-0003 大阪府大阪市東住吉区今川４丁目８,,
GMAPM_A20201,日本、〒545-0052 大阪府大阪市阿倍野区阿倍野筋３丁目８−１５,,
GMAPM_E20005,日本、〒546-0043 大阪府大阪市東住吉区駒川１丁目８−２０ ハイツＭ・Ｍ １階,,
GMAPM_A20202,日本、〒544-0011 大阪府大阪市生野区田島２丁目１０−１８,,
GMAPM_A20203,日本、〒542-0063 大阪府大阪市中央区東平１丁目４−１０,,
GMAPM_A20204,日本、〒546-0002 大阪府大阪市東住吉区杭全８丁目２−２１ 第１サンレジデンス,,
GMAPM_A60081,日本、〒543-0033 大阪府大阪市天王寺区堂ケ芝１丁目１１−３ DSt桃谷ビルディング B1F,,
GMAPM_A60082,日本、〒543-0063 大阪府大阪市天王寺区茶臼山町５−５５,,
GMAPM_B60006,日本、〒544-0013 大阪府大阪市生野区巽中３丁目１４−７,,
GMAPM_A60083,日本、〒544-0025 大阪府大阪市生野区生野東３丁目１−５４,,
GMAPM_A60084,日本、〒544-0024 大阪府大阪市生野区生野西２丁目１−３０,,
GMAPM_A40127,日本、〒542-0066 大阪府大阪市中央区瓦屋町２丁目１４−１２,,
GMAPM_A40128,日本、〒543-0014 大阪府大阪市天王寺区玉造元町７−５,,
GMAPM_A40129,日本、〒543-0071 大阪府大阪市天王寺区生玉町１０−２３ ニューシティーアパートメント上町台 1F,,
GMAPM_F50004,日本、〒543-0002 大阪府大阪市天王寺区上汐４丁目５−３,,
GMAPM_A50063,日本、〒543-0028 大阪府大阪市天王寺区小橋町２−１３ ＩＤＭビル 6階,,
GMAPM_A50064,日本、〒547-0041 大阪府大阪市平野区平野北１丁目６−２７,,
GMAPM_A50065,日本、〒544-0023 大阪府大阪市生野区林寺５丁目８−１５ 足立マンション 101,,
GMAPM_A50066,日本、〒545-0002 大阪府大阪市阿倍野区天王寺町南１丁目３−１０ コーナン天王寺店 4階エレベーターホール,,
GMAPM_A50067,日本、〒543-0063 大阪府大阪市天王寺区茶臼山町５−５５ ペットパラダイスDX 内,,
GMAPM_A30097,日本、〒543-0071 大阪府大阪市天王寺区生玉町１０−２３ ニューシティーアパートメント上町台 1F,,
GMAPM_A10158,日本、〒564-0063 大阪府吹田市江坂町４丁目２８−１０,,
GMAPM_G10029,日本、〒564-0031 大阪府吹田市元町８−３０,,
GMAPM_A10159,日本、〒564-0051 大阪府吹田市豊津町１６−８ ワタナベビル １階,,
GMAPM_E10021,日本、〒532-0002 大阪府大阪市淀川区東三国１丁目２５−１０,,
GMAPM_E10022,日本、〒564-0063 大阪府吹田市江坂町３丁目２−１０,,
GMAPM_B70009,日本、〒532-0003 大阪府大阪市淀川区宮原１丁目１６−２３,,
GMAPM_A70135,日本、〒532-0002 大阪府大阪市淀川区東三国６丁目１２−６,,
GMAPM_D70052,日本、〒532-0013 大阪府大阪市淀川区木川西４丁目３−１９,,
GMAPM_D70053,日本、〒533-0021 大阪府大阪市東淀川区下新庄６丁目１４−２０,,
GMAPM_D70054,日本、〒564-0045 大阪府吹田市金田町２８−１５,,
GMAPM_A70136,日本、〒533-0031 大阪府大阪市東淀川区西淡路１丁目１６−７ マンション宮原 1F,,
GMAPM_A20205,日本、〒532-0033 大阪府大阪市淀川区新高５丁目１２−５,,
GMAPM_A20206,日本、〒564-0073 大阪府吹田市山手町１丁目７−７,,
GMAPM_A20207,日本、〒561-0858 大阪府豊中市服部西町２丁目４−９,,
GMAPM_C20003,日本、〒532-0002 大阪府大阪市淀川区東三国５丁目８−１６,,
GMAPM_A20208,日本、〒532-0004 大阪府大阪市淀川区西宮原２丁目１−１９ コーナン新大阪センイシティ １ 1F,,
GMAPM_A20209,日本、〒564-0063 大阪府吹田市江坂町３丁目３７−８,,
GMAPM_A60085,日本、〒564-0063 大阪府吹田市江坂町４丁目２８−１０,,
GMAPM_E60012,日本、〒564-0063 大阪府吹田市江坂町１丁目１９−１,,
GMAPM_A40130,日本、〒532-0003 大阪府大阪市淀川区宮原２丁目１−１７ 新大阪第2YSビル １０４,,
GMAPM_A40131,日本、〒532-0004 大阪府大阪市淀川区西宮原２丁目１−１９ コーナン新大阪センイシティ １ 1F,,
GMAPM_A40132,日本、〒532-0033 大阪府大阪市淀川区新高５丁目１２−５,,
GMAPM_A40133,日本、〒564-0073 大阪府吹田市山手町１丁目７−７,,
GMAPM_E50003,日本、〒564-0063 大阪府吹田市江坂町３丁目２−１０,,
GMAPM_A30098,日本、〒532-0004 大阪府大阪市淀川区西宮原２丁目１−１９ コーナン新大阪センイシティ １ 1F,,
GMAPM_A30099,日本、〒532-0006 大阪府大阪市淀川区西三国３丁目９−７,,
GMAPM_A30100,日本、〒561-0832 大阪府豊中市庄内西町５丁目１−２２ イオンタウン豊中庄内 2階,,
GMAPM_A30101,日本、〒561-0853 大阪府豊中市服部南町２丁目１−１８ 1階,,
GMAPM_E30003,日本、〒564-0063 大阪府吹田市江坂町３丁目２−１０,,
GMAPM_A10160,日本、〒546-0042 大阪府大阪市東住吉区西今川４丁目３２−３,,
GMAPM_A10161,日本、〒546-0043 大阪府大阪市東住吉区駒川５丁目４−２１ ＰＥＴＳＨＯＰ,,
GMAPM_A10162,日本、〒544-0023 大阪府大阪市生野区林寺４丁目１１−１４,,
GMAPM_E10023,日本、〒546-0033 大阪府大阪市東住吉区南田辺１丁目１−１５ MKマンション,,
GMAPM_G10030,日本、〒547-0044 大阪府大阪市平野区平野本町５丁目９−９,,
GMAPM_D70055,日本、〒581-0054 大阪府八尾市南亀井町１丁目１−１,,
GMAPM_A70137,日本、〒547-0006 大阪府大阪市平野区加美正覚寺４丁目５−４４,,
GMAPM_C70006,日本、〒547-0003 大阪府大阪市平野区加美南４丁目４−３,,
GMAPM_C70007,日本、〒546-0013 大阪府大阪市東住吉区湯里５丁目１９−１４,,
GMAPM_D70056,日本、〒546-0003 大阪府大阪市東住吉区今川４丁目２２−１７,,
GMAPM_D70057,日本、〒546-0033 大阪府大阪市東住吉区南田辺１丁目９−１９ グランブラン南田辺 １F,,
GMAPM_A20210,日本、〒546-0032 大阪府大阪市東住吉区東田辺３丁目２５−２４,,
GMAPM_A20211,日本、〒546-0003 大阪府大阪市東住吉区今川４丁目８,,
GMAPM_A20212,日本、〒546-0003 大阪府大阪市東住吉区今川７丁目１０−２９,,
GMAPM_E20006,日本、〒546-0041 大阪府大阪市東住吉区桑津２丁目１７−２０,,
GMAPM_A20213,日本、〒547-0004 大阪府大阪市平野区加美鞍作３丁目９−３１,,
GMAPM_A20214,日本、〒547-0002 大阪府大阪市平野区加美東１丁目２−１１,,
GMAPM_A60086,日本、〒546-0024 大阪府大阪市東住吉区公園南矢田３丁目２４−６,,
GMAPM_A60087,日本、〒546-0042 大阪府大阪市東住吉区西今川４丁目３２−３,,
GMAPM_A60088,日本、〒544-0023 大阪府大阪市生野区林寺４丁目１１−１４,,
GMAPM_A40134,日本、〒546-0032 大阪府大阪市東住吉区東田辺３丁目２５−２４,,
GMAPM_A40135,日本、〒547-0024 大阪府大阪市平野区瓜破４丁目２−８,,
GMAPM_A40136,日本、〒547-0006 大阪府大阪市平野区加美正覚寺１丁目５−９,,
